"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка оплаты госпошлины","За выдачу паспорта гражданина РФ - город Самара","0","0","1","0","0"
"","Проверка оплаты патента","","0","2","2","0","0"
"","Проверка штрафов МВД","Проверка по паспорту иностранного гражданина без штрафов","1","0","0","0","0"
"","Проверка штрафов ГИБДД","Проверка по водительскому удостоверению со штрафами","0","0","1","0","0"
"","Проверка штрафов ФССП","Проверка со штрафами","0","1","0","0","0"
"","Проверка штрафов ГИБДД","Проверка по водительскому удостоверению без штрафов","0","0","1","0","0"
"","Проверка штрафов ФССП","Проверка без штрафов","1","0","0","0","0"
"","Проверка штрафов ГИБДД","Проверка по госномеру автомобиля без штрафов","0","0","1","0","0"
"","Проверка штрафов МВД","Проверка по паспорту иностранного гражданина со штрафами","0","0","1","0","0"
"","Проверка оплаты налогов","Проверка по ИНН со штрафами","0","0","1","0","0"
"","Проверка оплаты госпошлины","За выдачу паспорта гражданина РФ - город Нижний Новгород","0","0","1","0","0"
"","Проверка оплаты госпошлины","За выдачу паспорта гражданина РФ - город Москва","0","0","1","0","0"
"","Проверка штрафов ГИБДД","Проверка по УИН со штрафами","0","0","1","0","0"
"","Проверка оплаты налогов","Проверка по ИНН без штрафов","0","0","1","0","0"
"","Проверка оплаты госпошлины","За выдачу паспорта гражданина РФ - город Санкт-Петербург","0","0","1","0","0"
"","Проверка штрафов ГИБДД","Проверка по УИН без штрафов","0","1","0","0","0"
"","Проверка штрафов ГИБДД","Проверка по госномеру автомобиля со штрафами","0","0","1","0","0"
"","Проверка оплаты госпошлины","За выдачу паспорта гражданина РФ - город Казань","0","0","1","0","0"
"","Проверка оплаты налогов","Проверка по УИН без штрафов","0","0","1","0","0"
